taxon_id,scientific_name,current_name,common_name,epbc_status_code,epbc_status,family,genus,state_abbreviation,state_code_2026,state_name_2026,sprat_profile,dcceew_extract_date,abs_release_date
86084,Phyllodes imperialis smithersi,,Pink Underwing Moth,EN,Endangered,Noctuidae,Phyllodes,QLD,3,Queensland,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86084,2026-02-06,2026-07-22
92260,Promethis sterrha,,a beetle,CR,Critically Endangered,Tenebrionidae,Promethis,NSW,1,New South Wales,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=92260,2026-02-06,2026-07-22
86868,Pseudococcus markharveyi,,Banksia montana mealybug,CR,Critically Endangered,Pseudococcidae,Pseudococcus,WA,5,Western Australia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86868,2026-02-06,2026-07-22
66811,Riekoperla darlingtoni,,Mount Donna Buang Wingless Stonefly,CR,Critically Endangered,Gripopterygidae,Riekoperla,VIC,2,Victoria,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66811,2026-02-06,2026-07-22
25234,Synemon plana,,Golden Sun Moth,VU,Vulnerable,Castniidae,Synemon,ACT,8,Australian Capital Territory,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25234,2026-02-06,2026-07-22
25234,Synemon plana,,Golden Sun Moth,VU,Vulnerable,Castniidae,Synemon,NSW,1,New South Wales,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25234,2026-02-06,2026-07-22
25234,Synemon plana,,Golden Sun Moth,VU,Vulnerable,Castniidae,Synemon,SA,4,South Australia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25234,2026-02-06,2026-07-22
25234,Synemon plana,,Golden Sun Moth,VU,Vulnerable,Castniidae,Synemon,VIC,2,Victoria,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25234,2026-02-06,2026-07-22
25289,Thaumatoperla alpina,,Alpine Stonefly,EN,Endangered,Eustheniidae,Thaumatoperla,VIC,2,Victoria,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25289,2026-02-06,2026-07-22
87805,Trioza barrettae,,Banksia brownii plant louse,EN,Endangered,Triozidae,Trioza,WA,5,Western Australia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87805,2026-02-06,2026-07-22
84159,Trisyntopa scatophaga,,Antbed Parrot Moth,EN,Endangered,Oecophoridae,Trisyntopa,QLD,3,Queensland,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84159,2026-02-06,2026-07-22
